,word,cluster
127,issue,3
179,got,3
238,left,3
245,hour,3
259,arrival,3
270,another,3
275,let,3
282,leave,3
285,late,3
292,arrived,3
308,asked,3
313,due,3
315,early,3
324,without,3
329,cleaning,3
336,someone,3
337,key,3
346,took,3
355,reservation,3
376,said,3
387,checked,3
450,told,3
457,upon,3
461,call,3
469,checkout,3
538,ready,3
563,pm,3
580,phone,3
591,canceled,3
618,posting,3
623,refund,3
627,situation,3
638,ended,3
639,later,3
642,automated,3
675,change,3
677,trying,3
700,called,3
704,tried,3
761,charge,3
787,leaving,3
794,lady,3
809,fix,3
824,sent,3
861,fixed,3
875,prior,3
879,additional,3
891,security,3
910,instead,3
919,address,3
921,notice,3
932,twice,3
935,code,3
937,saying,3
972,rude,3
980,received,3
983,waiting,3
987,man,3
1013,app,3
1021,horrible,3
1026,locked,3
1028,finally,3
1031,sonder,3
1044,earlier,3
1045,company,3
1067,card,3
1090,contacted,3
1107,arrive,3
1119,reached,3
1130,started,3
1149,charged,3
1167,changed,3
1173,slow,3
1180,schedule,3
1192,deposit,3
1196,arriving,3
1200,cancel,3
1209,messaged,3
1217,support,3
1233,drop,3
1241,regarding,3
1255,hold,3
1274,asking,3
1287,email,3
1303,manager,3
1327,allow,3
1333,resolved,3
1337,ran,3
1358,explained,3
1366,happened,3
1390,lockbox,3
1393,inconvenience,3
1416,send,3
1445,requested,3
1450,supposed,3
1460,luckily,3
1463,ahead,3
1489,cut,3
1493,receive,3
1501,informed,3
1505,maintenance,3
1510,happen,3
1535,emergency,3
1544,lost,3
1554,texted,3
1572,addressed,3
1579,management,3
1585,handle,3
1597,package,3
1606,became,3
1613,cancelled,3
1619,figure,3
1637,stuck,3
1642,till,3
1647,advance,3
1651,resolve,3
1672,solution,3
1675,knowing,3
1682,sorry,3
1698,gone,3
1700,unable,3
1714,saved,3
1751,stopped,3
1755,initially,3
1761,telling,3
1763,policy,3
1770,waited,3
1774,landlord,3
1800,delivered,3
1806,returned,3
1814,entered,3
1819,calling,3
1822,difficulty,3
1823,refused,3
1831,worker,3
1838,unprofessional,3
1848,handled,3
1875,specific,3
1878,caused,3
1886,refunded,3
1902,following,3
1915,realized,3
1925,interaction,3
1930,correct,3
1932,health,3
1936,stood,3
